[0.0_0, 50000.0_1, 250000.0_2, 580000.0_7, 780000.0_6]___780000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_6, 680000.0_7]___680000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_6, 680000.0_7]___680000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_6, 680000.0_7]___680000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_6, 680000.0_7]___680000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_6, 680000.0_7]___680000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_6, 680000.0_7]___680000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_6, 680000.0_7]___680000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_6, 680000.0_7]___680000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_6, 680000.0_7]___680000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_6, 680000.0_7]___680000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_6, 680000.0_7]___680000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_6, 680000.0_7]___680000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_6, 680000.0_7]___680000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_6, 680000.0_7]___680000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_6, 680000.0_7]___680000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_6, 680000.0_7]___680000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_6, 680000.0_7]___680000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_6, 680000.0_7]___680000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_6, 680000.0_7]___680000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_6, 680000.0_7]___680000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_6, 680000.0_7]___680000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_6, 680000.0_7]___680000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_6, 680000.0_7]___680000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_6, 680000.0_7]___680000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_7, 780000.0_6]___780000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_7, 780000.0_6]___780000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_7, 780000.0_6]___780000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_7, 780000.0_6]___780000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_7, 780000.0_6]___780000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_7, 780000.0_6]___780000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_7, 780000.0_6]___780000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_7, 780000.0_6]___780000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_7, 780000.0_6]___780000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_7, 780000.0_6]___780000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_7, 780000.0_6]___780000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_7, 780000.0_6]___780000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_7, 780000.0_6]___780000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_7, 780000.0_6]___780000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_7, 780000.0_6]___780000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_7, 780000.0_6]___780000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_7, 780000.0_6]___780000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_7, 780000.0_6]___780000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_7, 780000.0_6]___780000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_7, 780000.0_6]___780000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_7, 780000.0_6]___780000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_7, 780000.0_6]___780000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_7, 780000.0_6]___780000.0
[0.0_0, 50000.0_1, 250000.0_2, 580000.0_7, 780000.0_6]___780000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
